CREDENTIAL,GROUPBY,INSTITUTION,INSTITUTION_NAME,PROGRAM_AREA,PROGRAM_AREA_NAME,PROGRAM_NAME,RESPONDENTS,RESPONSE_RATE,AGE,FEMALE,MALE,Q49A,Q51NA,Q51NB,Q51ND,Q51NE1,Q51NE2,Q51NI,Q51NJ,Q52A,SELF_EMPLOYED,EMPLOY_FULL_TIME,JOB_PROGRAM_RELATED,USEFUL_PERFORM_JOB,IN_LABR_MKT,EMPLOYED,UNEMPLOYED,SALARY_WAGE,FURTH_STUDIES,Q11_7,Q52_6
Certificate,Institution and Program,SEL,Selkirk College,04,Health,Pharmacy Technician Certificate,28,0.682926829,36,-2,-1,0.846153846,0.65,0.714285714,0.846153846,0.84,0.807692308,0.962962963,0.962962963,0.892857143,0,-9,0.76,0.84,0.962962963,-11,-12,23.34,0.185185185,,
Certificate,Institution and Program,SEL,Selkirk College,04,Health,Medical Transcriptionist Distance,22,0.709677419,44.5,1,0,0.761904762,0.882352941,0.5,0.529411765,0.909090909,0.75,0.954545455,0.909090909,0.772727273,-6,-9,0.611111111,0.631578947,0.863636364,-11,0,14.5,0.181818182,,
Certificate,Institution and Program,SEL,Selkirk College,07,Human and Social Services,Social Service Worker I,37,0.649122807,28,-2,-1,0.945945946,0.972972973,1,0.945945946,0.972972973,0.837837838,0.945945946,0.972222222,0.972972973,-6,-8,0.541666667,0.791666667,0.742857143,0.648648649,-12,16.33,0.891891892,,
Certificate,Institution and Program,SEL,Selkirk College,07,Human and Social Services,Early Childhood Care and Education,38,0.603174603,28.5,-2,-1,0.921052632,0.864864865,0.8,0.916666667,0.921052632,0.868421053,0.916666667,1,0.945945946,-6,0.576923077,0.833333333,0.933333333,0.842105263,-11,-12,16,0.526315789,,
Certificate,Institution and Program,SEL,Selkirk College,07,Human and Social Services,Education Assistant and Community Support Worker,33,0.6,39,-2,-1,0.848484848,0.870967742,0.967741935,0.939393939,0.909090909,0.8125,0.84375,0.818181818,0.909090909,-6,-8,0.884615385,0.923076923,0.870967742,-11,-12,23.09,0.424242424,,
Certificate,Institution and Program,SEL,Selkirk College,08,Visual and Performing Arts,Ceramics Studio,13,0.722222222,27,-2,-1,0.923076923,0.833333333,1,1,0.833333333,0.923076923,1,0.9,0.923076923,-99,-99,0.375,0.5,0.909090909,-11,-12,-99,0.5,,
Certificate,Institution and Program,TRU,Thompson Rivers University,01,Arts and Sciences,Aboriginal Studies,14,0.823529412,25,-2,-1,1,1,1,1,1,0.923076923,1,1,1,0,-9,0.769230769,0.846153846,1,-11,-12,-99,0.214285714,,
Certificate,Institution and Program,TRU,Thompson Rivers University,03,Business and Management,Accounting,11,0.578947368,33,-2,-1,1,1,1,0.909090909,0.909090909,1,0.909090909,1,1,0,1,0.9,1,0.909090909,-11,0,-99,0.181818182,,
Certificate,Institution and Program,TRU,Thompson Rivers University,03,Business and Management,Business Skills,17,0.459459459,38,-2,-1,0.941176471,0.941176471,0.666666667,0.875,0.875,0.75,0.928571429,0.866666667,1,-6,1,1,0.933333333,1,-11,-12,-99,0.588235294,,
Certificate,Institution and Program,TRU,Thompson Rivers University,03,Business and Management,Business Management,11,0.47826087,39,-2,-1,0.909090909,0.9,0.777777778,0.666666667,0.909090909,0.9,0.818181818,0.909090909,1,0,1,1,0.909090909,1,1,0,-99,0.636363636,,
Certificate,Institution and Program,TRU,Thompson Rivers University,03,Business and Management,Administrative Assistant,29,0.527272727,29,-2,-1,0.965517241,0.928571429,0.84,0.793103448,0.931034483,0.827586207,0.821428571,0.965517241,1,0,-9,0.913043478,0.826086957,0.965517241,-11,-12,22,0.034482759,,
Certificate,Institution and Program,TRU,Thompson Rivers University,03,Business and Management,Business Skills Supervisor,10,0.714285714,32,-2,-1,1,0.75,0.666666667,0.875,0.9,0.888888889,1,1,1,-99,-99,0.777777778,0.888888889,0.9,-11,-99,-99,0.6,,
Certificate,Institution and Program,TRU,Thompson Rivers University,03,Business and Management,First Nations Tax Administration,12,0.52173913,45.5,-2,-1,1,1,1,1,1,1,1,1,1,-6,-9,1,1,1,1,0,-99,0.5,,
Certificate,Institution and Program,TRU,Thompson Rivers University,03,Business and Management,Executive Management & Leadership,24,0.510638298,45.5,-1,-5,1,0.818181818,0.739130435,0.954545455,1,0.875,0.956521739,0.958333333,1,0,1,1,1,1,1,0,45,0,,
Certificate,Institution and Program,TRU,Thompson Rivers University,03,Business and Management,Management Skills for Supervisors,20,0.540540541,46,-2,-1,1,0.6875,0.944444444,1,0.95,1,0.866666667,0.857142857,1,-6,1,1,1,0.95,-11,-12,25.075,0.3,,
Certificate,Institution and Program,TRU,Thompson Rivers University,04,Health,Health Care Assistant,100,0.448430493,24.5,0.92,0.08,0.98,0.791208791,0.857142857,0.95959596,0.919191919,0.908163265,0.928571429,0.93877551,0.97,0,0.864197531,0.913043478,0.956521739,0.949494949,-11,-12,20.015,0.14,,
Certificate,Institution and Program,TRU,Thompson Rivers University,04,Health,Medical Laboratory Assistant,123,0.556561086,32,0.918699187,0.081300813,0.943089431,0.638554217,0.651162791,0.707070707,0.849557522,0.712962963,0.94017094,0.94017094,0.919642857,-3,0.683673469,0.927272727,0.944954128,0.974789916,0.894308943,-3,22.57,0.162601626,,
Certificate,Institution and Program,TRU,Thompson Rivers University,04,Health,Return to Registered Nursing,58,0.725,40.5,0.74137931,0.25862069,0.844827586,0.929824561,0.764705882,0.844827586,0.913793103,0.793103448,0.948275862,0.929824561,0.982758621,0,-9,0.941176471,0.862745098,0.913793103,-11,-12,32.785,0.122807018,,
Certificate,Institution and Program,TRU,Thompson Rivers University,05,Engineering and Applied Sciences,Horticulture,10,0.416666667,22,-2,-1,0.9,0.571428571,0.75,0.9,0.8,0.777777778,0.666666667,0.9,0.9,-99,-99,0.714285714,0.857142857,0.9,-11,-99,-99,0.1,,
Certificate,Institution and Program,TRU,Thompson Rivers University,06,Education,Teaching English as a Second Language,23,0.469387755,25,-2,-1,0.913043478,0.80952381,1,0.869565217,0.863636364,0.904761905,0.863636364,0.863636364,0.956521739,0,-9,0.785714286,0.714285714,0.818181818,-11,-12,-99,0.043478261,,
Certificate,Institution and Program,TRU,Thompson Rivers University,06,Education,Education Assistant & Community Support,36,0.580645161,35,-2,-1,0.916666667,0.885714286,0.885714286,0.942857143,0.916666667,0.885714286,0.941176471,0.944444444,0.972222222,0,0.676470588,0.972222222,0.916666667,1,1,0,22.5,0.055555556,,
Certificate,Institution and Program,TRU,Thompson Rivers University,07,Human and Social Services,Social Service,14,0.583333333,37.5,-2,-1,0.928571429,0.923076923,0.769230769,0.769230769,1,1,1,1,1,-6,-9,0.833333333,0.916666667,0.857142857,-11,0,-99,0.285714286,,
Certificate,Institution and Program,VCC,Vancouver Community College,03,Business and Management,Office Administration,86,0.577181208,40,-2,-1,0.904761905,0.928571429,0.916666667,0.929411765,0.902439024,0.901234568,0.853658537,0.963414634,0.976744186,-6,-9,0.735294118,0.820895522,0.941176471,0.8,0.15,19,0.270588235,,
Certificate,Institution and Program,VCC,Vancouver Community College,03,Business and Management,Administrative Assistant,127,0.54978355,28,0.929133858,0.070866142,0.912698413,0.918032787,0.870967742,0.928571429,0.816,0.824,0.88,0.911290323,0.952380952,-6,0.844444444,0.747368421,0.863157895,0.93442623,0.766129032,0.166666667,17.5,0.277777778,,
Certificate,Institution and Program,VCC,Vancouver Community College,03,Business and Management,Management Skills for Supervisors,13,0.541666667,40,-2,-1,0.923076923,0.615384615,0.769230769,0.923076923,0.818181818,0.846153846,0.615384615,0.769230769,1,0,-9,0.923076923,0.923076923,1,1,0,-99,0.230769231,,
Certificate,Institution and Program,VCC,Vancouver Community College,04,Health,Practical Nursing,208,0.709897611,31,0.884615385,0.115384615,0.975845411,0.92,0.93627451,0.95631068,0.947115385,0.917073171,0.906403941,0.956521739,0.951923077,-3,0.798701299,0.962566845,0.978609626,0.985294118,0.912195122,0.069651741,25.25,0.258536585,,
Certificate,Institution and Program,VCC,Vancouver Community College,04,Health,Pharmacy Technician,37,0.587301587,29,-2,-1,1,0.909090909,0.941176471,0.944444444,0.942857143,0.911764706,0.911764706,0.942857143,1,0,-9,0.885714286,0.971428571,1,-11,0,23,0.108108108,,
Certificate,Institution and Program,VCC,Vancouver Community College,01,Arts and Sciences,ASL and Deaf Studies,50,0.641025641,25,-2,-1,0.92,0.482758621,0.80952381,0.9,0.872340426,0.760869565,0.875,0.886363636,0.92,-6,-8,0.321428571,0.571428571,0.653061224,0.591836735,-12,13.25,0.78,,
Certificate,Institution and Program,VCC,Vancouver Community College,01,Arts and Sciences,Community Counselling Skills,53,0.609195402,40,-2,-1,0.941176471,0.782608696,0.94,0.943396226,0.943396226,0.980769231,0.87755102,0.924528302,0.981132075,-6,0.736842105,0.688888889,0.933333333,0.941176471,-11,-12,21.925,0.471698113,,
Certificate,Institution and Program,VCC,Vancouver Community College,01,Arts and Sciences,Business and Technical Writing,12,0.631578947,38.5,-2,-1,0.916666667,0.909090909,0.714285714,1,0.818181818,0.777777778,0.8,0.818181818,1,0,1,0.6,0.9,0.909090909,-11,0,-99,0.416666667,,
Certificate,Institution and Program,VCC,Vancouver Community College,02,Trades,Building Manager (Residential),11,0.611111111,52,-1,-5,1,1,1,0.909090909,0.909090909,0.909090909,1,1,1,0,1,0.818181818,1,1,1,0,-99,0.363636364,,
Certificate,Institution and Program,VCC,Vancouver Community College,03,Business and Management,Leadership,17,0.485714286,38.5,-2,-1,0.941176471,0.6875,0.941176471,1,0.941176471,0.941176471,0.692307692,0.5,0.941176471,0,-9,1,0.9375,0.941176471,-11,0,39.4,0.176470588,,
Certificate,Institution and Program,VCC,Vancouver Community College,03,Business and Management,Event Planning,14,0.518518519,30,-2,-1,0.857142857,0.692307692,0.923076923,0.928571429,0.928571429,0.857142857,0.846153846,0.833333333,0.928571429,0,-9,0.5,0.666666667,1,-11,-12,-99,0.214285714,,
