CREDENTIAL,GROUPBY,INSTITUTION,INSTITUTION_NAME,PROGRAM_AREA,PROGRAM_AREA_NAME,PROGRAM_NAME,RESPONDENTS,RESPONSE_RATE,AGE,FEMALE,MALE,Q49A,Q51NA,Q51NB,Q51ND,Q51NE1,Q51NE2,Q51NI,Q51NJ,Q52A,SELF_EMPLOYED,EMPLOY_FULL_TIME,JOB_PROGRAM_RELATED,USEFUL_PERFORM_JOB,IN_LABR_MKT,EMPLOYED,UNEMPLOYED,SALARY_WAGE,FURTH_STUDIES,Q11_7,Q52_6
Certificate,Institution and Program,VCC,Vancouver Community College,03,Business and Management,Executive Assistant,10,0.555555556,37.5,1,0,1,0.7,0.6,1,0.888888889,0.875,0.875,0.888888889,1,0,-99,0.8,0.9,1,1,0,-99,0.1,,
Certificate,Institution and Program,VCC,Vancouver Community College,03,Business and Management,Fashion Merchandising,10,0.476190476,33.5,-2,-1,0.9,0.75,0.777777778,0.8,0.8,0.777777778,0.8,0.777777778,0.8,-99,-99,0.777777778,0.777777778,1,-11,-12,-99,0.1,,
Certificate,Institution and Program,SEL,Selkirk College,04,Health,Health Care Assistant,59,0.756410256,36,-2,-1,0.966101695,0.872727273,0.888888889,0.93220339,0.913793103,0.931034483,0.894736842,0.947368421,0.983050847,0,0.697674419,0.981132075,1,0.948275862,-11,-12,20,0.118644068,,
Certificate,Institution and Program,VCC,Vancouver Community College,04,Health,Health Care Assistant,224,0.638176638,38,0.843049327,0.156950673,0.982142857,0.935185185,0.958715596,0.959641256,0.968468468,0.981981982,0.944954128,0.97706422,0.995535714,-3,0.776470588,0.95215311,0.971153846,0.972727273,0.941441441,-3,22.83,0.228699552,,
Certificate,Institution and Program,VCC,Vancouver Community College,04,Health,Medical Lab Assistant,75,0.572519084,30,-2,-1,0.946666667,0.850746269,0.917808219,0.932432432,0.932432432,0.918918919,0.917808219,0.97260274,0.973333333,-6,0.74137931,0.880597015,0.924242424,0.958333333,-11,-12,22.535,0.16,,
Certificate,Institution and Program,VCC,Vancouver Community College,04,Health,Health Unit Coordinator,66,0.647058824,27,-2,-1,0.712121212,0.672131148,0.725806452,0.714285714,0.75,0.682539683,0.723076923,0.796875,0.621212121,-6,-9,0.888888889,0.841269841,1,-11,-12,21.82,0.151515152,,
Certificate,Institution and Program,VCC,Vancouver Community College,04,Health,Medical Office Assistant,65,0.575221239,26,-2,-1,0.703125,0.661016949,0.704918033,0.825396825,0.746031746,0.65,0.844827586,0.890625,0.661538462,-6,-9,0.816666667,0.8,0.96875,-11,-12,18,0.230769231,,
Certificate,Institution and Program,VCC,Vancouver Community College,04,Health,Medical Transcriptionist,21,0.636363636,36,-2,-1,1,0.894736842,0.764705882,1,0.944444444,0.95,0.947368421,0.952380952,1,-6,-9,0.888888889,0.944444444,0.947368421,-11,0,20.57,0,,
Certificate,Institution and Program,VCC,Vancouver Community College,04,Health,Certified Dental Assisting,153,0.604743083,25,0.973856209,0.026143791,0.973509934,0.811023622,0.858208955,0.937931034,0.891891892,0.820689655,0.89261745,0.933333333,0.947712418,-3,0.88,0.928571429,0.936619718,0.98,-4,-3,20,0.153333333,,
Certificate,Institution and Program,VCC,Vancouver Community College,04,Health,Addiction Counselling Skills,42,0.538461538,46,0.571428571,0.428571429,0.952380952,0.794871795,0.820512821,0.975609756,0.951219512,0.928571429,0.87804878,0.95,1,-6,-9,0.810810811,0.918918919,0.952380952,-11,-12,21.765,0.238095238,,
Certificate,Institution and Program,VCC,Vancouver Community College,04,Health,Dental Reception Coordinator,70,0.608695652,26,1,0,0.971014493,0.881355932,0.895522388,0.878787879,0.852941176,0.805970149,0.888888889,0.956521739,0.985714286,-6,-9,0.867924528,0.923076923,0.895522388,0.757142857,-12,18.5,0.228571429,,
Certificate,Institution and Program,VCC,Vancouver Community College,04,Health,Medical Device Reprocessing Technician,122,0.625641026,36,0.68852459,0.31147541,0.9,0.872340426,0.9375,0.926605505,0.927927928,0.892857143,0.945454545,0.934579439,0.93442623,0,0.720930233,0.882882883,0.90990991,1,-4,-3,22.29,0.1,,
Certificate,Institution and Program,VCC,Vancouver Community College,04,Health,Acute Care Skills Home Support/Resident Care Attendant,103,0.565934066,44,0.941747573,0.058252427,0.961165049,0.927835052,0.968085106,0.95,1,0.949494949,0.96969697,0.989361702,1,-6,0.8625,0.919191919,0.96969697,0.980582524,-4,-3,22.83,0.12745098,,
Certificate,Institution and Program,VCC,Vancouver Community College,05,Engineering and Applied Sciences,Architectural Technician,27,0.613636364,25,-1,-5,0.888888889,0.652173913,0.772727273,0.769230769,0.8,0.846153846,0.88,0.888888889,0.888888889,-6,-9,0.705882353,0.8,0.666666667,0.62962963,-12,20,0.37037037,,
Certificate,Institution and Program,VCC,Vancouver Community College,05,Engineering and Applied Sciences,Steel Detailing Technician,22,0.733333333,28,-1,-5,1,0.833333333,0.789473684,1,0.95,0.904761905,0.952380952,0.952380952,0.952380952,0,-9,0.75,0.875,0.954545455,-11,-12,18,0.272727273,,
Certificate,Institution and Program,VCC,Vancouver Community College,05,Engineering and Applied Sciences,Civil Structural Technician,29,0.707317073,26,0.344827586,0.655172414,0.862068966,0.791666667,0.666666667,0.793103448,0.851851852,0.821428571,0.931034483,0.862068966,0.827586207,0,-9,0.80952381,0.9,0.851851852,-11,-12,22.105,0.379310345,,
Certificate,Institution and Program,VCC,Vancouver Community College,05,Engineering and Applied Sciences,University Transfer Engineering,10,0.526315789,21,-1,-5,0.6,0.285714286,0.625,0.666666667,0.7,0.2,0.7,0.6,0.7,-99,-99,0,0,0.25,-99,-99,-99,1,,
Certificate,Institution and Program,VCC,Vancouver Community College,06,Education,TEFL,13,0.481481481,54,-2,-1,1,0.916666667,0.833333333,0.923076923,0.769230769,0.75,1,0.923076923,1,-99,-99,0.428571429,0.571428571,0.9,-11,-99,-99,0.461538462,,
Certificate,Institution and Program,VCC,Vancouver Community College,06,Education,TESOL Certificate,70,0.603448276,35.5,0.642857143,0.357142857,0.985714286,0.784313725,0.857142857,0.927536232,0.84375,0.796610169,0.825396825,0.919354839,1,-6,0.533333333,0.703703704,0.777777778,0.882352941,0.782608696,-12,25.5,0.171428571,,
Certificate,Institution and Program,VCC,Vancouver Community College,06,Education,Online-E-learning Instruction,29,0.69047619,51,-2,-1,0.965517241,0.708333333,0.473684211,0.64,0.931034483,0.785714286,0.931034483,0.84,0.965517241,-6,-9,0.814814815,0.777777778,1,-11,-12,48.11,0.275862069,,
Certificate,Institution and Program,VCC,Vancouver Community College,07,Human and Social Services,Paralegal - Corporate,24,0.52173913,34,-2,-1,1,0.875,0.636363636,0.863636364,0.916666667,0.913043478,0.958333333,1,1,0,1,1,1,0.958333333,-11,-12,30.135,0.5,,
Certificate,Institution and Program,VCC,Vancouver Community College,07,Human and Social Services,Paralegal - Litigation,42,0.525,32,-2,-1,0.975609756,0.743589744,0.515151515,0.621621622,0.87804878,0.694444444,0.926829268,0.926829268,0.976190476,-6,-9,0.904761905,0.880952381,1,1,0,29.435,0.261904762,,
Certificate,Institution and Program,VCC,Vancouver Community College,07,Human and Social Services,Legal Administrative Assistant,75,0.524475524,28,-2,-1,0.933333333,0.835820896,0.796875,0.779411765,0.837837838,0.835616438,0.918918919,0.932432432,0.973333333,-6,1,0.85915493,0.887323944,0.973333333,-11,-12,20.25,0.293333333,,
Certificate,Institution and Program,VCC,Vancouver Community College,07,Human and Social Services,Early Childhood Care and Education,50,0.446428571,35,-2,-1,0.836734694,0.804347826,0.826086957,0.854166667,0.897959184,0.816326531,0.893617021,0.913043478,0.84,-6,-9,0.930232558,0.860465116,0.93877551,-11,-12,19.28,0.346938776,,
Certificate,Institution and Program,VCC,Vancouver Community College,08,Visual and Performing Arts,Interior Design,12,0.6,49,-2,-1,0.727272727,0.666666667,0.75,0.75,0.75,0.75,0.818181818,0.545454545,0.833333333,-99,-99,0.571428571,0.571428571,0.75,-11,-99,-99,0.5,,
Certificate,Institution and Program,VCC,Vancouver Community College,08,Visual and Performing Arts,Digital Graphic Design,65,0.747126437,28,0.646153846,0.353846154,0.714285714,0.769230769,0.762711864,0.828125,0.796875,0.753846154,0.8,0.777777778,0.692307692,0.181818182,0.75,0.690909091,0.872727273,0.967741935,-11,-12,18,0.1875,,
Certificate,Institution and Program,VIU,Vancouver Island University,03,Business and Management,Applied Business Technology,56,0.358974359,29,-2,-1,0.909090909,0.890909091,0.84,0.826923077,0.818181818,0.839285714,0.944444444,0.945454545,0.892857143,-6,0.736842105,0.69047619,0.906976744,0.927272727,0.767857143,-12,17,0.125,,
Certificate,Institution and Program,VIU,Vancouver Island University,03,Business and Management,Event Management Certificate,15,0.535714286,27,-2,-1,0.933333333,0.866666667,0.9,0.692307692,1,1,1,1,1,0,-9,0.909090909,0.909090909,0.857142857,-11,-12,-99,0.214285714,,
Certificate,Institution and Program,VIU,Vancouver Island University,04,Health,Dental Assistant,42,0.471910112,22.5,1,0,0.928571429,0.655172414,0.621621622,0.80952381,0.902439024,0.666666667,0.833333333,0.87804878,0.880952381,0,1,0.95,0.923076923,1,-11,-12,20.5,0.195121951,,
Certificate,Institution and Program,VIU,Vancouver Island University,04,Health,Health Care Assistant,134,0.45890411,32,0.910447761,0.089552239,0.946969697,0.833333333,0.908333333,0.939393939,0.923664122,0.946564885,0.868217054,0.953488372,0.925373134,-3,0.75,0.966666667,0.966666667,0.945736434,0.923076923,-3,19.98,0.179104478,,
Certificate,Institution and Program,VIU,Vancouver Island University,04,Health,Community Mental Health Worker Certificate,28,0.459016393,38.5,-2,-1,0.821428571,0.714285714,0.75,0.892857143,0.777777778,0.814814815,0.814814815,0.714285714,0.857142857,0,-9,0.913043478,0.913043478,0.925925926,-11,-12,19.325,0.222222222,,
Certificate,Institution and Program,VIU,Vancouver Island University,07,Human and Social Services,Community Support Worker Certificate,38,0.469135802,37,-2,-1,0.947368421,0.857142857,0.882352941,1,1,0.947368421,0.942857143,0.918918919,1,-6,0.457142857,0.864864865,0.918918919,1,-11,-12,24,0.210526316,,
Certificate,Institution and Program,BCIT,British Columbia Institute of Technology,01,Arts and Sciences,Graphic Design,159,0.586715867,26,0.685534591,0.314465409,0.893081761,0.636363636,0.79389313,0.894736842,0.905405405,0.862068966,0.873333333,0.921985816,0.949367089,-3,0.873684211,0.578947368,0.728070175,0.894039735,0.75,0.155555556,15,0.322580645,,
Certificate,Institution and Program,BCIT,British Columbia Institute of Technology,01,Arts and Sciences,Technical Writing,42,0.65625,33,0.619047619,0.380952381,0.928571429,0.976190476,0.571428571,0.804878049,0.853658537,0.710526316,0.87804878,0.880952381,0.976190476,-6,-9,0.666666667,0.805555556,1,-11,-12,27.23,0.214285714,,
Certificate,Institution and Program,BCIT,British Columbia Institute of Technology,01,Arts and Sciences,"3D Modeling, Art and Animation",76,0.64957265,22,0.25,0.75,0.813333333,0.70212766,0.660714286,0.88,0.857142857,0.864864865,0.876712329,0.825396825,0.921052632,-6,-9,0.326086957,0.456521739,0.943661972,0.638888889,0.313432836,15,0.136986301,,
Certificate,Institution and Program,BCIT,British Columbia Institute of Technology,01,Arts and Sciences,New Media Design & Web Development,160,0.62745098,26,0.49375,0.50625,0.842767296,0.720588235,0.835616438,0.893081761,0.816993464,0.810457516,0.851612903,0.860927152,0.886075949,0.133333333,0.910714286,0.844262295,0.875,0.961038961,0.794871795,0.162162162,19.25,0.201257862,,
Certificate,Institution and Program,BCIT,British Columbia Institute of Technology,02,Trades,Bridge Watchman,17,0.369565217,26,-1,-5,0.764705882,0.666666667,0.714285714,0.9375,0.8,0.823529412,0.857142857,1,0.823529412,0,-9,0.833333333,0.833333333,0.941176471,-11,-12,27,0.352941176,,
Certificate,Institution and Program,BCIT,British Columbia Institute of Technology,02,Trades,Carpentry Framing,17,0.772727273,18,-1,-5,1,0.733333333,0.8125,0.941176471,1,0.941176471,1,1,1,0,-9,1,1,0.8125,-11,0,15,0.294117647,,
Certificate,Institution and Program,BCIT,British Columbia Institute of Technology,02,Trades,Construction Operations,19,0.558823529,30,-1,-5,0.894736842,0.833333333,0.777777778,0.722222222,0.555555556,0.777777778,0.722222222,0.894736842,1,-6,-9,0.823529412,0.823529412,1,-11,-12,29.915,0.684210526,,
Certificate,Institution and Program,BCIT,British Columbia Institute of Technology,02,Trades,Power Engineering - 4th Class,80,0.559440559,35,-1,-5,0.9,0.5,0.396551724,0.528301887,0.813333333,0.824324324,0.961038961,0.897435897,0.85,-6,1,0.864864865,0.821917808,0.974683544,-11,-12,32.83,0.341772152,,
Certificate,Institution and Program,BCIT,British Columbia Institute of Technology,02,Trades,Power Engineering (General Program),19,0.678571429,29,0,1,0.833333333,0.947368421,0.764705882,0.947368421,0.947368421,0.944444444,0.8125,1,1,-6,-9,0.529411765,0.705882353,1,-11,-12,24.625,0.111111111,,
Certificate,Institution and Program,BCIT,British Columbia Institute of Technology,03,Business and Management,Leadership,52,0.52,41,0.442307692,0.557692308,0.903846154,0.744680851,0.875,0.959183673,0.903846154,0.921568627,0.875,0.791666667,0.960784314,-6,-9,0.941176471,1,1,-11,-12,35,0.529411765,,
Certificate,Institution and Program,BCIT,British Columbia Institute of Technology,03,Business and Management,Project Management,30,0.652173913,35.5,0.466666667,0.533333333,1,0.620689655,0.866666667,1,0.827586207,0.931034483,0.821428571,0.892857143,1,-6,1,0.888888889,0.888888889,1,-11,-12,32.24,0.266666667,,
Certificate,Institution and Program,BCIT,British Columbia Institute of Technology,03,Business and Management,Business Essentials,16,0.592592593,26.5,-1,-5,0.9375,0.9375,0.8,0.9375,0.9375,0.8125,0.9375,1,0.9375,-6,-9,0.769230769,0.75,0.9375,-11,-12,-99,0.625,,
Certificate,Institution and Program,BCIT,British Columbia Institute of Technology,03,Business and Management,Business Management,69,0.556451613,31,0.536231884,0.463768116,0.955223881,0.865671642,0.808823529,0.898550725,0.927536232,0.826086957,0.850746269,0.910447761,0.970588235,-6,-9,0.847457627,0.898305085,0.941176471,0.855072464,-12,23,0.391304348,,
Certificate,Institution and Program,BCIT,British Columbia Institute of Technology,03,Business and Management,Marketing Management,11,0.34375,27,-1,-5,1,0.818181818,0.909090909,0.909090909,1,1,0.818181818,1,1,-99,-99,0.555555556,0.777777778,1,-11,-12,-99,0.272727273,,
Certificate,Institution and Program,BCIT,British Columbia Institute of Technology,03,Business and Management,Nonprofit Management,17,0.739130435,40,-2,-1,0.941176471,0.875,0.642857143,0.9375,0.882352941,1,0.9375,1,1,0,-9,0.8,0.866666667,0.941176471,-11,-12,-99,0.352941176,,
Certificate,Institution and Program,BCIT,British Columbia Institute of Technology,03,Business and Management,Business Administration,26,0.604651163,27.5,0.461538462,0.538461538,0.884615385,0.916666667,0.961538462,0.961538462,0.923076923,0.923076923,0.807692308,0.92,0.961538462,-6,-9,0.55,0.75,0.92,-11,-12,18.4,0.384615385,,
Certificate,Institution and Program,BCIT,British Columbia Institute of Technology,03,Business and Management,Human Resource Management,147,0.615062762,34,0.918367347,0.081632653,0.979452055,0.760869565,0.794326241,0.861111111,0.896551724,0.84137931,0.895104895,0.930555556,0.972789116,-3,0.919354839,0.80620155,0.891472868,0.9375,0.896551724,-3,27.33,0.342465753,,
Certificate,Institution and Program,BCIT,British Columbia Institute of Technology,03,Business and Management,Business Management Studies,37,0.596774194,26,0.540540541,0.459459459,0.891891892,0.891891892,0.972972973,0.918918919,0.945945946,0.918918919,0.972222222,0.888888889,0.972972973,-6,-9,0.75,0.833333333,0.805555556,0.648648649,-12,17.5,0.432432432,,
Certificate,Institution and Program,BCIT,British Columbia Institute of Technology,04,Health,Critical Care Nursing Specialty,93,0.607843137,31,0.870967742,0.129032258,0.967741935,0.727272727,0.688311688,0.931818182,0.989247312,0.866666667,0.923076923,0.875,1,0,-9,1,1,1,1,0,36.375,0.096774194,,
Certificate,Institution and Program,BCIT,British Columbia Institute of Technology,04,Health,Perioperative Nursing Specialty,13,0.342105263,36,1,0,1,0.8,0.7,0.916666667,0.916666667,0.75,1,0.916666667,0.916666667,0,-9,1,1,1,1,0,-99,0.076923077,,
Certificate,Institution and Program,BCIT,British Columbia Institute of Technology,04,Health,Occupational Health Nursing Specialty,17,0.772727273,38,-2,-1,0.875,0.875,0.7,0.857142857,1,0.8,1,1,0.941176471,0,-9,0.75,0.75,1,-11,-12,-99,0.375,,
Certificate,Institution and Program,BCIT,British Columbia Institute of Technology,04,Health,Critical Care/Emergency Nursing Specialty,11,0.55,32,1,0,1,0.818181818,0.636363636,0.909090909,1,0.8,0.818181818,0.909090909,0.9,0,-99,1,1,1,1,0,-99,0.363636364,,
Certificate,Institution and Program,BCIT,British Columbia Institute of Technology,04,Health,Pediatric Nursing Specialty - Pediatric Emergency,19,0.558823529,39,-2,-1,0.944444444,0.466666667,0.4,0.5,0.947368421,0.631578947,0.722222222,0.705882353,0.894736842,0,-9,1,0.947368421,1,1,0,-99,0.157894737,,
Certificate,Institution and Program,BCIT,British Columbia Institute of Technology,04,Health,Cardiac Sciences (Cardiac Rhythm Device Technology Option),10,0.588235294,35,-2,-1,0.888888889,0.571428571,0.25,0.6,0.9,0.8,0.8,0.8,0.9,0,-99,0.9,0.8,1,1,0,-99,0.2,,
Certificate,Institution and Program,BCIT,British Columbia Institute of Technology,05,Engineering and Applied Sciences,Computer Systems,26,0.590909091,30,-1,-5,0.884615385,0.8,0.761904762,0.916666667,0.833333333,0.88,0.92,0.863636364,1,-6,1,0.785714286,0.857142857,0.875,0.583333333,-12,-99,0.461538462,,
Certificate,Institution and Program,BCIT,British Columbia Institute of Technology,05,Engineering and Applied Sciences,Web Technologies,28,0.7,35,0.5,0.5,0.785714286,0.772727273,0.357142857,0.523809524,0.72,0.92,0.964285714,0.814814815,0.892857143,-6,-9,0.782608696,0.818181818,1,-11,-12,22.94,0.428571429,,
